Record Length,Analog:10000,
Sample Interval,Analog:5.000000E-04,
Vertical Units,CH1:V, CH2:V, CH3:V, CH4:V,,
Vertical Scale,CH1:+1.600000E+02, CH2:+1.000000E+02, CH3:+1.000000E+02, CH4:+1.600000E+02,,
Vertical Offset,CH1:+0.000000E+00, CH2:-2.368333E+03, CH3:+0.000000E+00, CH4:+0.000000E+00,,
Horizontal Units,us,
Horizontal Scale,+5.000000E+05,
Model Number,SDS2104X Plus,
Serial Number,SDS2PDDQ6R1916,
Software Version,5.0.1.3.9R12,
Source,CH1,CH2,CH3,CH4
Second,Value,Value,Value,Value
-2.3725000000E+00,+6.400001E+01,+1.948333E+03,+2.400000E+02,-4.253334E+02
-2.3720000000E+00,+5.600000E+01,+2.423333E+03,+2.375000E+02,-4.253334E+02
-2.3715000000E+00,+6.400001E+01,+2.408333E+03,+2.383333E+02,-4.240000E+02
-2.3710000000E+00,+6.666667E+01,+2.411667E+03,+2.383333E+02,-4.240000E+02
-2.3705000000E+00,+6.400001E+01,+2.408333E+03,+2.383333E+02,-4.226667E+02
-2.3700000000E+00,+6.400001E+01,+2.433333E+03,+2.383333E+02,-4.186667E+02
-2.3695000000E+00,+6.666667E+01,+2.434167E+03,+2.383333E+02,-4.160000E+02
-2.3690000000E+00,+6.133334E+01,+2.405000E+03,+2.383333E+02,-4.160000E+02
-2.3685000000E+00,+6.133334E+01,+2.439167E+03,+2.391667E+02,-4.133334E+02
-2.3680000000E+00,+5.866667E+01,+2.403333E+03,+2.383333E+02,-4.160000E+02
-2.3675000000E+00,+6.000000E+01,+2.451667E+03,+2.383333E+02,-4.186667E+02
-2.3670000000E+00,+6.133334E+01,+2.442500E+03,+2.383333E+02,-4.186667E+02
-2.3665000000E+00,+6.000000E+01,+2.395833E+03,+2.383333E+02,-4.133334E+02
-2.3660000000E+00,+5.866667E+01,+2.446667E+03,+2.383333E+02,-4.160000E+02
-2.3655000000E+00,+6.133334E+01,+2.392500E+03,+2.383333E+02,-4.146667E+02
-2.3650000000E+00,+6.000000E+01,+2.404167E+03,+2.383333E+02,-4.133334E+02
